age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churn,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,value_per_hour,activity_status,age_group
21,Female,Standard,15.53,27,South America,Laptop,13.99,False,Credit Card,1,0.55,Comedy,1.11,Intermittent,18-25
60,Male,Basic,31.9,4,Oceania,Tablet,8.99,False,Crypto,2,6.38,Comedy,3.55,Active,51+
70,Other,Premium,7.97,57,Europe,Laptop,17.99,True,Gift Card,5,0.14,Drama,0.44,Dormant,51+
53,Other,Standard,43.02,43,South America,Tablet,13.99,False,Crypto,1,0.98,Action,3.08,Dormant,51+
36,Other,Standard,34.6,19,Oceania,Tablet,13.99,False,Crypto,3,1.73,Action,2.47,Intermittent,36-50
55,Other,Basic,24.58,18,Asia,Desktop,8.99,False,Debit Card,1,1.29,Documentary,2.73,Intermittent,51+
45,Female,Standard,7.39,6,Oceania,Tv,13.99,False,Paypal,1,1.06,Romance,0.53,Active,36-50
24,Male,Premium,6.92,13,Africa,Desktop,17.99,False,Crypto,2,0.49,Action,0.38,Intermittent,18-25
30,Other,Premium,1.37,55,North America,Mobile,17.99,True,Debit Card,1,0.02,Horror,0.08,Dormant,26-35
69,Female,Basic,24.56,53,Oceania,Laptop,8.99,True,Gift Card,1,0.45,Action,2.73,Dormant,51+
47,Other,Standard,15.87,52,Africa,Laptop,13.99,True,Crypto,1,0.3,Sci-Fi,1.13,Dormant,36-50
49,Female,Standard,7.62,27,Asia,Tv,13.99,False,Debit Card,3,0.27,Action,0.54,Intermittent,36-50
67,Male,Standard,3.05,29,Oceania,Tablet,13.99,True,Paypal,1,0.1,Drama,0.22,Intermittent,51+
23,Female,Premium,13.31,34,Africa,Mobile,17.99,True,Debit Card,2,0.38,Romance,0.74,Dormant,18-25
67,Male,Basic,1.56,0,Oceania,Desktop,8.99,False,Crypto,5,1.56,Documentary,0.17,Active,51+
57,Male,Premium,0.97,32,South America,Mobile,17.99,True,Gift Card,2,0.03,Comedy,0.05,Dormant,51+
55,Other,Standard,21.58,48,North America,Mobile,13.99,False,Credit Card,5,0.44,Romance,1.54,Dormant,51+
35,Other,Standard,22.59,16,Europe,Tablet,13.99,False,Credit Card,2,1.33,Comedy,1.61,Intermittent,26-35
22,Female,Standard,9.69,35,Asia,Tv,13.99,True,Crypto,4,0.27,Documentary,0.69,Dormant,18-25
34,Male,Premium,12.82,45,North America,Mobile,17.99,True,Paypal,2,0.28,Romance,0.71,Dormant,26-35
19,Male,Standard,4.34,1,Asia,Tablet,13.99,False,Paypal,1,2.17,Sci-Fi,0.31,Active,18-25
25,Female,Premium,15.95,15,South America,Laptop,17.99,False,Credit Card,1,1.0,Action,0.89,Intermittent,18-25
49,Other,Premium,2.05,14,North America,Tablet,17.99,False,Debit Card,5,0.14,Romance,0.11,Intermittent,36-50
55,Other,Premium,3.86,25,Europe,Tablet,17.99,True,Paypal,3,0.15,Action,0.21,Intermittent,51+
36,Other,Basic,1.68,10,Africa,Tv,8.99,True,Paypal,4,0.15,Action,0.19,Intermittent,36-50
27,Other,Premium,46.88,56,Oceania,Tv,17.99,False,Crypto,3,0.82,Drama,2.61,Dormant,26-35
49,Male,Standard,4.22,50,Oceania,Desktop,13.99,True,Gift Card,2,0.08,Comedy,0.3,Dormant,36-50
54,Female,Basic,26.88,44,South America,Desktop,8.99,False,Gift Card,3,0.6,Drama,2.99,Dormant,51+
31,Female,Standard,2.23,39,North America,Mobile,13.99,True,Debit Card,5,0.06,Drama,0.16,Dormant,26-35
31,Male,Premium,14.15,24,South America,Desktop,17.99,False,Paypal,5,0.57,Drama,0.79,Intermittent,26-35
42,Female,Basic,49.49,39,Europe,Mobile,8.99,False,Credit Card,5,1.24,Horror,5.51,Dormant,36-50
30,Male,Premium,8.79,21,Europe,Tablet,17.99,False,Crypto,4,0.4,Comedy,0.49,Intermittent,26-35
58,Male,Standard,14.57,22,North America,Mobile,13.99,False,Debit Card,2,0.63,Romance,1.04,Intermittent,51+
63,Other,Standard,25.73,11,Africa,Tv,13.99,False,Paypal,1,2.14,Comedy,1.84,Intermittent,51+
60,Male,Standard,3.01,30,Asia,Desktop,13.99,True,Gift Card,3,0.1,Documentary,0.22,Intermittent,51+
66,Male,Basic,12.05,33,South America,Tablet,8.99,True,Paypal,3,0.35,Drama,1.34,Dormant,51+
51,Female,Premium,3.7,37,South America,Mobile,17.99,True,Credit Card,2,0.1,Horror,0.21,Dormant,51+
63,Male,Premium,5.84,20,Oceania,Mobile,17.99,False,Credit Card,1,0.28,Documentary,0.32,Intermittent,51+
31,Male,Basic,48.35,11,Oceania,Desktop,8.99,False,Debit Card,5,4.03,Comedy,5.38,Intermittent,26-35
55,Other,Standard,2.89,37,North America,Desktop,13.99,True,Debit Card,4,0.08,Action,0.21,Dormant,51+
38,Male,Premium,29.84,56,South America,Desktop,17.99,False,Credit Card,4,0.52,Drama,1.66,Dormant,36-50
65,Other,Standard,19.33,31,North America,Desktop,13.99,False,Credit Card,1,0.6,Comedy,1.38,Dormant,51+
43,Female,Premium,2.5,33,Europe,Tv,17.99,True,Credit Card,3,0.07,Action,0.14,Dormant,36-50
63,Male,Premium,6.97,31,North America,Tablet,17.99,True,Crypto,1,0.22,Romance,0.39,Dormant,51+
64,Female,Standard,3.66,6,Africa,Mobile,13.99,False,Paypal,1,0.52,Romance,0.26,Active,51+
58,Female,Basic,30.85,46,North America,Mobile,8.99,False,Debit Card,5,0.66,Action,3.43,Dormant,51+
31,Male,Standard,1.77,34,Europe,Tv,13.99,True,Paypal,3,0.05,Sci-Fi,0.13,Dormant,26-35
62,Other,Standard,16.65,41,North America,Tablet,13.99,True,Debit Card,3,0.4,Romance,1.19,Dormant,51+
35,Male,Standard,25.08,2,Oceania,Tv,13.99,False,Crypto,5,8.36,Action,1.79,Active,26-35
34,Other,Standard,23.2,18,Asia,Tablet,13.99,False,Debit Card,1,1.22,Comedy,1.66,Intermittent,26-35
65,Other,Premium,37.82,31,Oceania,Tablet,17.99,False,Gift Card,3,1.18,Sci-Fi,2.1,Dormant,51+
68,Male,Standard,28.44,55,Europe,Laptop,13.99,False,Crypto,3,0.51,Romance,2.03,Dormant,51+
46,Other,Standard,13.38,3,South America,Laptop,13.99,False,Credit Card,2,3.35,Romance,0.96,Active,36-50
62,Female,Standard,14.8,40,South America,Mobile,13.99,True,Crypto,5,0.36,Drama,1.06,Dormant,51+
63,Other,Premium,3.39,57,South America,Mobile,17.99,True,Paypal,4,0.06,Sci-Fi,0.19,Dormant,51+
62,Female,Premium,13.15,11,Oceania,Desktop,17.99,False,Debit Card,1,1.1,Comedy,0.73,Intermittent,51+
41,Male,Basic,15.26,21,South America,Desktop,8.99,False,Debit Card,5,0.69,Drama,1.7,Intermittent,36-50
27,Other,Premium,79.17,12,South America,Tablet,17.99,False,Debit Card,2,6.09,Drama,4.4,Intermittent,26-35
60,Female,Basic,9.13,43,North America,Laptop,8.99,True,Debit Card,1,0.21,Documentary,1.02,Dormant,51+
60,Male,Premium,3.29,20,Asia,Mobile,17.99,True,Debit Card,2,0.16,Drama,0.18,Intermittent,51+
58,Female,Standard,9.52,51,Europe,Laptop,13.99,True,Paypal,1,0.18,Sci-Fi,0.68,Dormant,51+
18,Male,Standard,3.56,23,Oceania,Tablet,13.99,False,Debit Card,4,0.15,Horror,0.25,Intermittent,18-25
48,Other,Premium,11.1,41,Africa,Mobile,17.99,True,Gift Card,5,0.26,Documentary,0.62,Dormant,36-50
26,Other,Standard,23.13,27,Oceania,Mobile,13.99,False,Debit Card,2,0.83,Documentary,1.65,Intermittent,26-35
21,Male,Premium,9.91,27,Asia,Desktop,17.99,False,Debit Card,2,0.35,Sci-Fi,0.55,Intermittent,18-25
46,Other,Basic,6.22,36,Asia,Laptop,8.99,True,Credit Card,2,0.17,Horror,0.69,Dormant,36-50
62,Female,Premium,0.45,20,Europe,Tablet,17.99,False,Debit Card,5,0.02,Sci-Fi,0.03,Intermittent,51+
35,Female,Standard,17.53,38,Oceania,Laptop,13.99,True,Credit Card,1,0.45,Action,1.25,Dormant,26-35
61,Female,Standard,4.52,21,Europe,Tablet,13.99,True,Crypto,2,0.21,Drama,0.32,Intermittent,51+
37,Male,Basic,9.69,24,Asia,Mobile,8.99,False,Credit Card,4,0.39,Horror,1.08,Intermittent,36-50
46,Female,Standard,5.78,4,Asia,Laptop,13.99,False,Credit Card,2,1.16,Sci-Fi,0.41,Active,36-50
41,Female,Premium,18.87,9,Europe,Tv,17.99,False,Gift Card,3,1.89,Documentary,1.05,Intermittent,36-50
21,Female,Premium,4.89,3,Oceania,Desktop,17.99,False,Debit Card,4,1.22,Sci-Fi,0.27,Active,18-25
55,Female,Premium,1.66,54,Oceania,Tv,17.99,True,Paypal,4,0.03,Drama,0.09,Dormant,51+
64,Female,Premium,4.42,17,South America,Laptop,17.99,True,Crypto,3,0.25,Horror,0.25,Intermittent,51+
36,Other,Premium,13.38,22,North America,Mobile,17.99,False,Gift Card,4,0.58,Documentary,0.74,Intermittent,36-50
67,Female,Premium,9.87,6,Europe,Tv,17.99,False,Paypal,3,1.41,Action,0.55,Active,51+
23,Female,Premium,23.6,56,South America,Tv,17.99,False,Paypal,4,0.41,Sci-Fi,1.31,Dormant,18-25
19,Male,Basic,3.89,33,North America,Mobile,8.99,True,Credit Card,1,0.11,Romance,0.43,Dormant,18-25
20,Other,Premium,3.4,33,Africa,Tablet,17.99,True,Crypto,5,0.1,Drama,0.19,Dormant,18-25
50,Female,Standard,3.58,54,Europe,Tablet,13.99,True,Credit Card,4,0.07,Romance,0.26,Dormant,36-50
33,Other,Premium,31.11,39,South America,Mobile,17.99,False,Crypto,4,0.78,Comedy,1.73,Dormant,26-35
31,Other,Premium,2.81,39,Europe,Desktop,17.99,True,Credit Card,5,0.07,Horror,0.16,Dormant,26-35
20,Male,Standard,9.87,29,Africa,Desktop,13.99,False,Paypal,3,0.33,Documentary,0.71,Intermittent,18-25
18,Female,Basic,35.52,40,South America,Tablet,8.99,False,Crypto,3,0.87,Action,3.95,Dormant,18-25
31,Male,Premium,4.6,1,South America,Desktop,17.99,False,Gift Card,1,2.3,Sci-Fi,0.26,Active,26-35
47,Other,Premium,14.24,37,Africa,Tablet,17.99,True,Gift Card,2,0.37,Documentary,0.79,Dormant,36-50
49,Female,Basic,2.9,46,Asia,Mobile,8.99,True,Debit Card,2,0.06,Horror,0.32,Dormant,36-50
30,Female,Basic,24.74,17,Oceania,Laptop,8.99,False,Credit Card,5,1.37,Comedy,2.75,Intermittent,26-35
22,Other,Basic,2.93,27,Asia,Tv,8.99,True,Gift Card,2,0.1,Sci-Fi,0.33,Intermittent,18-25
61,Other,Standard,5.98,1,North America,Tablet,13.99,False,Gift Card,5,2.99,Romance,0.43,Active,51+
59,Other,Premium,24.59,49,North America,Desktop,17.99,False,Crypto,3,0.49,Romance,1.37,Dormant,51+
42,Male,Premium,18.17,2,South America,Laptop,17.99,False,Crypto,4,6.06,Sci-Fi,1.01,Active,36-50
21,Female,Basic,13.97,14,North America,Laptop,8.99,False,Credit Card,3,0.93,Romance,1.55,Intermittent,18-25
35,Male,Basic,4.58,42,South America,Tablet,8.99,True,Credit Card,4,0.11,Romance,0.51,Dormant,26-35
32,Other,Basic,17.18,22,Africa,Tv,8.99,False,Crypto,4,0.75,Romance,1.91,Intermittent,26-35
65,Female,Premium,4.89,6,Asia,Tv,17.99,False,Gift Card,1,0.7,Documentary,0.27,Active,51+
59,Other,Standard,6.77,22,Oceania,Tablet,13.99,False,Debit Card,1,0.29,Sci-Fi,0.48,Intermittent,51+
70,Other,Basic,1.28,52,Asia,Mobile,8.99,True,Credit Card,5,0.02,Action,0.14,Dormant,51+
63,Male,Premium,8.54,51,North America,Tablet,17.99,False,Credit Card,5,0.16,Documentary,0.47,Dormant,51+
29,Other,Basic,17.58,2,Europe,Desktop,8.99,False,Paypal,1,5.86,Action,1.96,Active,26-35
30,Other,Basic,9.28,44,North America,Tablet,8.99,True,Paypal,4,0.21,Action,1.03,Dormant,26-35
52,Other,Basic,6.18,41,South America,Tablet,8.99,True,Gift Card,3,0.15,Comedy,0.69,Dormant,51+
49,Other,Standard,5.88,40,North America,Mobile,13.99,True,Crypto,2,0.14,Action,0.42,Dormant,36-50
33,Male,Standard,2.86,30,Europe,Tablet,13.99,True,Gift Card,5,0.09,Drama,0.2,Intermittent,26-35
22,Female,Basic,3.71,28,Europe,Tv,8.99,True,Crypto,1,0.13,Horror,0.41,Intermittent,18-25
29,Male,Basic,1.7,43,South America,Mobile,8.99,True,Debit Card,5,0.04,Horror,0.19,Dormant,26-35
67,Female,Standard,1.02,20,Europe,Laptop,13.99,True,Gift Card,1,0.05,Sci-Fi,0.07,Intermittent,51+
53,Female,Premium,1.36,35,South America,Mobile,17.99,True,Gift Card,2,0.04,Romance,0.08,Dormant,51+
40,Male,Premium,12.26,3,North America,Mobile,17.99,False,Debit Card,5,3.06,Romance,0.68,Active,36-50
56,Other,Premium,1.43,16,Europe,Laptop,17.99,True,Debit Card,2,0.08,Action,0.08,Intermittent,51+
35,Female,Basic,26.9,49,South America,Desktop,8.99,False,Gift Card,2,0.54,Drama,2.99,Dormant,26-35
54,Male,Basic,3.13,16,Oceania,Tv,8.99,True,Credit Card,5,0.18,Drama,0.35,Intermittent,51+
19,Other,Basic,3.72,11,Asia,Desktop,8.99,True,Crypto,5,0.31,Documentary,0.41,Intermittent,18-25
28,Male,Premium,16.17,46,Africa,Laptop,17.99,True,Crypto,4,0.34,Horror,0.9,Dormant,26-35
19,Other,Basic,5.18,43,Europe,Tablet,8.99,True,Paypal,4,0.12,Horror,0.58,Dormant,18-25
34,Male,Basic,1.89,59,Asia,Tablet,8.99,True,Credit Card,5,0.03,Action,0.21,Dormant,26-35
19,Male,Premium,8.03,1,Asia,Tv,17.99,False,Gift Card,3,4.01,Drama,0.45,Active,18-25
45,Other,Basic,3.4,27,North America,Laptop,8.99,True,Crypto,3,0.12,Sci-Fi,0.38,Intermittent,36-50
50,Other,Basic,0.11,1,South America,Tablet,8.99,True,Gift Card,2,0.06,Sci-Fi,0.01,Active,36-50
47,Female,Standard,40.12,55,Africa,Desktop,13.99,False,Paypal,1,0.72,Action,2.87,Dormant,36-50
40,Female,Standard,32.88,36,South America,Desktop,13.99,False,Crypto,4,0.89,Sci-Fi,2.35,Dormant,36-50
41,Female,Standard,6.26,16,Oceania,Tablet,13.99,False,Crypto,4,0.37,Action,0.45,Intermittent,36-50
48,Other,Premium,16.78,2,Europe,Mobile,17.99,False,Paypal,1,5.59,Drama,0.93,Active,36-50
67,Other,Standard,3.29,25,North America,Tablet,13.99,True,Crypto,1,0.13,Documentary,0.24,Intermittent,51+
59,Female,Basic,20.11,40,South America,Desktop,8.99,True,Paypal,2,0.49,Sci-Fi,2.24,Dormant,51+
60,Female,Standard,19.36,45,South America,Desktop,13.99,True,Debit Card,2,0.42,Drama,1.38,Dormant,51+
33,Male,Basic,2.27,20,South America,Desktop,8.99,True,Debit Card,3,0.11,Romance,0.25,Intermittent,26-35
24,Female,Basic,2.42,56,Europe,Tablet,8.99,True,Crypto,3,0.04,Comedy,0.27,Dormant,18-25
23,Other,Basic,10.85,13,North America,Mobile,8.99,False,Paypal,3,0.78,Romance,1.21,Intermittent,18-25
34,Male,Premium,9.59,28,Europe,Mobile,17.99,False,Paypal,4,0.33,Action,0.53,Intermittent,26-35
30,Male,Premium,7.24,40,Asia,Tv,17.99,False,Debit Card,5,0.18,Documentary,0.4,Dormant,26-35
69,Male,Standard,7.85,43,Europe,Tv,13.99,True,Gift Card,5,0.18,Action,0.56,Dormant,51+
70,Female,Basic,6.8,6,North America,Mobile,8.99,False,Debit Card,4,0.97,Action,0.76,Active,51+
42,Male,Premium,0.88,33,Oceania,Laptop,17.99,True,Credit Card,1,0.03,Comedy,0.05,Dormant,36-50
34,Male,Premium,12.48,53,Asia,Tablet,17.99,True,Gift Card,2,0.23,Comedy,0.69,Dormant,26-35
51,Female,Premium,2.04,6,South America,Tv,17.99,False,Debit Card,2,0.29,Drama,0.11,Active,51+
27,Other,Premium,4.57,24,Africa,Laptop,17.99,True,Gift Card,4,0.18,Documentary,0.25,Intermittent,26-35
19,Male,Standard,19.23,20,Oceania,Laptop,13.99,False,Debit Card,3,0.92,Romance,1.37,Intermittent,18-25
18,Other,Standard,16.81,56,Oceania,Tablet,13.99,True,Credit Card,2,0.29,Drama,1.2,Dormant,18-25
23,Other,Premium,8.17,38,Europe,Desktop,17.99,True,Paypal,3,0.21,Documentary,0.45,Dormant,18-25
23,Male,Basic,7.09,32,Europe,Tv,8.99,True,Credit Card,2,0.21,Romance,0.79,Dormant,18-25
50,Female,Premium,7.92,58,Asia,Desktop,17.99,True,Gift Card,4,0.13,Drama,0.44,Dormant,36-50
54,Other,Standard,10.1,40,Oceania,Tv,13.99,False,Paypal,5,0.25,Horror,0.72,Dormant,51+
68,Female,Basic,9.07,32,Africa,Tv,8.99,True,Crypto,3,0.27,Romance,1.01,Dormant,51+
70,Other,Basic,2.24,50,Europe,Laptop,8.99,True,Paypal,5,0.04,Documentary,0.25,Dormant,51+
28,Male,Basic,11.25,52,Europe,Laptop,8.99,True,Paypal,5,0.21,Action,1.25,Dormant,26-35
37,Male,Standard,31.31,53,South America,Mobile,13.99,False,Gift Card,1,0.58,Sci-Fi,2.24,Dormant,36-50
51,Female,Premium,8.32,48,Europe,Tv,17.99,True,Credit Card,2,0.17,Horror,0.46,Dormant,51+
18,Female,Premium,6.8,20,South America,Laptop,17.99,False,Credit Card,4,0.32,Drama,0.38,Intermittent,18-25
25,Female,Basic,18.4,55,Asia,Tv,8.99,True,Debit Card,4,0.33,Drama,2.05,Dormant,18-25
33,Other,Basic,44.72,7,Oceania,Tablet,8.99,False,Paypal,4,5.59,Horror,4.97,Active,26-35
30,Female,Premium,3.61,43,Africa,Tablet,17.99,True,Paypal,4,0.08,Comedy,0.2,Dormant,26-35
22,Male,Premium,10.68,60,Africa,Tablet,17.99,False,Debit Card,5,0.18,Action,0.59,Dormant,18-25
40,Other,Basic,8.13,4,Oceania,Tablet,8.99,False,Gift Card,4,1.63,Romance,0.9,Active,36-50
44,Male,Premium,38.18,49,Oceania,Tv,17.99,False,Gift Card,3,0.76,Documentary,2.12,Dormant,36-50
68,Male,Basic,1.83,0,Africa,Mobile,8.99,False,Debit Card,5,1.83,Horror,0.2,Active,51+
24,Female,Basic,47.9,21,Oceania,Laptop,8.99,False,Debit Card,4,2.18,Romance,5.33,Intermittent,18-25
34,Female,Standard,3.85,55,South America,Desktop,13.99,True,Gift Card,3,0.07,Romance,0.28,Dormant,26-35
62,Female,Basic,1.55,17,South America,Tablet,8.99,True,Debit Card,2,0.09,Action,0.17,Intermittent,51+
29,Female,Standard,7.46,58,Asia,Tablet,13.99,False,Credit Card,5,0.13,Drama,0.53,Dormant,26-35
62,Female,Basic,6.67,47,North America,Tv,8.99,True,Gift Card,2,0.14,Documentary,0.74,Dormant,51+
20,Female,Premium,4.57,17,South America,Laptop,17.99,True,Gift Card,1,0.25,Comedy,0.25,Intermittent,18-25
60,Female,Standard,1.03,2,Asia,Tablet,13.99,False,Paypal,5,0.34,Documentary,0.07,Active,51+
25,Other,Standard,6.71,2,Africa,Tablet,13.99,False,Credit Card,4,2.24,Sci-Fi,0.48,Active,18-25
57,Male,Standard,12.95,27,North America,Tv,13.99,False,Gift Card,4,0.46,Horror,0.93,Intermittent,51+
47,Male,Standard,3.92,58,Africa,Tablet,13.99,True,Paypal,5,0.07,Horror,0.28,Dormant,36-50
54,Male,Basic,24.44,28,North America,Laptop,8.99,False,Gift Card,4,0.84,Drama,2.72,Intermittent,51+
34,Female,Standard,28.76,11,North America,Mobile,13.99,False,Paypal,2,2.4,Documentary,2.06,Intermittent,26-35
52,Male,Standard,1.35,7,Asia,Tv,13.99,True,Crypto,1,0.17,Action,0.1,Active,51+
53,Other,Premium,0.25,50,Asia,Tablet,17.99,True,Paypal,1,0.0,Romance,0.01,Dormant,51+
68,Female,Premium,10.27,55,North America,Tablet,17.99,False,Paypal,4,0.18,Horror,0.57,Dormant,51+
68,Male,Premium,52.22,4,North America,Laptop,17.99,False,Gift Card,1,10.44,Romance,2.9,Active,51+
55,Other,Standard,7.61,37,North America,Mobile,13.99,True,Paypal,1,0.2,Comedy,0.54,Dormant,51+
31,Male,Basic,11.05,51,North America,Tv,8.99,True,Paypal,1,0.21,Horror,1.23,Dormant,26-35
30,Other,Standard,17.22,5,South America,Laptop,13.99,False,Paypal,1,2.87,Horror,1.23,Active,26-35
56,Female,Premium,2.39,21,South America,Tablet,17.99,True,Debit Card,2,0.11,Comedy,0.13,Intermittent,51+
44,Other,Basic,14.91,47,Europe,Desktop,8.99,True,Debit Card,5,0.31,Horror,1.66,Dormant,36-50
64,Male,Standard,13.86,7,Africa,Laptop,13.99,False,Credit Card,3,1.73,Comedy,0.99,Active,51+
42,Other,Basic,2.6,50,South America,Laptop,8.99,True,Credit Card,4,0.05,Romance,0.29,Dormant,36-50
18,Other,Premium,17.75,9,Oceania,Desktop,17.99,False,Gift Card,1,1.77,Comedy,0.99,Intermittent,18-25
56,Male,Basic,8.71,2,Asia,Laptop,8.99,False,Debit Card,3,2.9,Drama,0.97,Active,51+
23,Male,Premium,10.39,2,North America,Tv,17.99,False,Paypal,4,3.46,Romance,0.58,Active,18-25
23,Female,Basic,18.25,30,South America,Mobile,8.99,False,Crypto,5,0.59,Documentary,2.03,Intermittent,18-25
65,Other,Premium,20.05,21,Asia,Tablet,17.99,False,Crypto,5,0.91,Documentary,1.11,Intermittent,51+
47,Other,Basic,0.39,48,South America,Tablet,8.99,True,Paypal,5,0.01,Romance,0.04,Dormant,36-50
36,Female,Premium,50.98,23,Asia,Mobile,17.99,False,Gift Card,4,2.12,Comedy,2.83,Intermittent,36-50
54,Other,Premium,0.56,30,North America,Tablet,17.99,True,Debit Card,2,0.02,Horror,0.03,Intermittent,51+
56,Other,Standard,1.95,28,North America,Mobile,13.99,True,Crypto,4,0.07,Romance,0.14,Intermittent,51+
34,Male,Premium,70.61,38,Oceania,Tv,17.99,False,Credit Card,5,1.81,Comedy,3.92,Dormant,26-35
70,Other,Standard,8.7,46,Asia,Mobile,13.99,True,Credit Card,3,0.19,Action,0.62,Dormant,51+
51,Male,Basic,2.17,14,Africa,Tablet,8.99,True,Debit Card,3,0.14,Horror,0.24,Intermittent,51+
57,Female,Basic,15.75,1,Europe,Desktop,8.99,False,Crypto,3,7.88,Horror,1.75,Active,51+
36,Female,Basic,3.58,14,North America,Tablet,8.99,True,Paypal,2,0.24,Romance,0.4,Intermittent,36-50
67,Other,Standard,14.58,18,Europe,Desktop,13.99,False,Credit Card,2,0.77,Sci-Fi,1.04,Intermittent,51+
66,Other,Standard,1.42,57,Europe,Laptop,13.99,True,Gift Card,3,0.02,Drama,0.1,Dormant,51+
42,Female,Basic,2.98,29,Asia,Tv,8.99,True,Crypto,4,0.1,Comedy,0.33,Intermittent,36-50
34,Female,Standard,0.68,42,Africa,Desktop,13.99,True,Crypto,2,0.02,Comedy,0.05,Dormant,26-35
49,Other,Standard,2.26,31,Europe,Laptop,13.99,True,Paypal,5,0.07,Comedy,0.16,Dormant,36-50
66,Female,Basic,6.93,47,South America,Tablet,8.99,True,Paypal,3,0.14,Sci-Fi,0.77,Dormant,51+
24,Female,Premium,11.67,31,Oceania,Mobile,17.99,True,Crypto,3,0.36,Sci-Fi,0.65,Dormant,18-25
49,Other,Premium,5.31,39,Europe,Tv,17.99,True,Credit Card,1,0.13,Comedy,0.3,Dormant,36-50
65,Other,Standard,1.83,37,Africa,Desktop,13.99,True,Credit Card,1,0.05,Comedy,0.13,Dormant,51+
52,Female,Standard,2.62,43,South America,Mobile,13.99,True,Gift Card,5,0.06,Documentary,0.19,Dormant,51+
61,Other,Premium,0.85,6,Europe,Tv,17.99,True,Crypto,1,0.12,Horror,0.05,Active,51+
50,Female,Standard,5.02,47,Africa,Mobile,13.99,True,Crypto,3,0.1,Horror,0.36,Dormant,36-50
56,Other,Premium,19.81,25,Asia,Tablet,17.99,False,Credit Card,4,0.76,Sci-Fi,1.1,Intermittent,51+
36,Other,Premium,18.47,28,Asia,Tablet,17.99,False,Credit Card,2,0.64,Horror,1.03,Intermittent,36-50
40,Female,Standard,22.52,8,Africa,Laptop,13.99,False,Paypal,5,2.5,Comedy,1.61,Intermittent,36-50
23,Female,Premium,11.54,28,Europe,Laptop,17.99,False,Gift Card,5,0.4,Sci-Fi,0.64,Intermittent,18-25
49,Female,Basic,38.43,6,Oceania,Tablet,8.99,False,Paypal,3,5.49,Drama,4.27,Active,36-50
68,Female,Standard,2.7,35,Asia,Tv,13.99,True,Debit Card,1,0.08,Documentary,0.19,Dormant,51+
52,Other,Standard,1.79,38,Africa,Mobile,13.99,True,Credit Card,1,0.05,Drama,0.13,Dormant,51+
37,Male,Standard,13.86,46,South America,Laptop,13.99,True,Gift Card,3,0.29,Documentary,0.99,Dormant,36-50
33,Female,Basic,0.14,37,Europe,Tv,8.99,True,Paypal,5,0.0,Sci-Fi,0.02,Dormant,26-35
26,Other,Premium,19.48,35,Oceania,Laptop,17.99,False,Paypal,5,0.54,Horror,1.08,Dormant,26-35
37,Male,Basic,4.84,25,Africa,Laptop,8.99,True,Paypal,5,0.19,Action,0.54,Intermittent,36-50
